ID,Service ID,Service Code,Service Name (EN),Service Name (AR),Medical Center Name,Medical Center ID,Price Before Discount,Price After Discount,Contract Price,Created At,Updated At
12,12,MSCT SELLA,CT Scan of the Pituitary Gland,أشعة مقطعيه متعدده المقاطع على الغده النخامية,Medical Center 1,1,831,184,115,4/2/2025 16:44,4/2/2025 16:44
13,13,MSCT SKULL,CT Scan of the Skull,أشعة مقطعيه متعدده على الجمجمه,Medical Center 1,1,319,814,387,4/2/2025 16:44,4/2/2025 16:44
14,14,MSCT B. ORBITS,CT Scan of the Eye Orbits,أشعة مقطعيه متعدده المقاطع لحجاجى العينين,Medical Center 1,1,843,868,353,4/2/2025 16:44,4/2/2025 16:44
15,15,MSCT PETROUS BONE,CT Scan of the Petrous Bone,أشعة مقطعية متعدده المقاطع على االذن,Medical Center 1,1,857,547,377,4/2/2025 16:44,4/2/2025 16:44
16,16,MSCT PNS FULL EXAM,CT Scan of the Paranasal Sinuses Full Exam,أشعة مقطعيه متعدده المقاطع للجيوب االنفيه كامله,Medical Center 1,1,321,161,399,4/2/2025 16:44,4/2/2025 16:44
17,17,MSCT NASOPHARYNX,CT Scan of the Nasopharynx,أشعة مقطعية متعددة على البلعوم االنفى,Medical Center 1,1,473,294,27,4/2/2025 16:44,4/2/2025 16:44
18,18,MSCT PNS ROUTINE,CT Scan of the Paranasal Sinuses Routine Exam,أشعة مقطعيه متعدده على الجيوب االنفيه - دورى,Medical Center 1,1,415,650,232,4/2/2025 16:44,4/2/2025 16:44
19,19,MSCT MAXILLA,CT Scan of the Maxilla,أشعة مقطعية متعدده للفك العلوى,Medical Center 1,1,257,148,485,4/2/2025 16:44,4/2/2025 16:44
20,20,MSCT MANDIBLE,CT Scan of the Mandible,أشعة مقطعية متعدده للفك السفلى,Medical Center 1,1,242,679,63,4/2/2025 16:44,4/2/2025 16:44
21,21,MSCT SUBMANDIBULAR,CT Scan of the Submandibular Region,أشعة مقطعية متعدده تحت الفك السفلى,Medical Center 1,1,259,95,401,4/2/2025 16:44,4/2/2025 16:44
22,22,MSCT FACIAL BONE,CT Scan of the Facial Bone,أشعة مقطعية متعدده للوجه,Medical Center 1,1,276,889,90,4/2/2025 16:44,4/2/2025 16:44
23,23,MSCT PAROTID GLANDS,CT Scan of the Parotid Glands,أشعة مقطعية متعددة على الغدد النكافية,Medical Center 1,1,317,124,313,4/2/2025 16:44,4/2/2025 16:44
24,24,MSCT NECK,CT Scan of the Neck,أشعة مقطعيه متعدده المقاطع للعنق,Medical Center 1,1,477,489,154,4/2/2025 16:44,4/2/2025 16:44
25,25,MSCT CHEST,CT Scan of the Chest,أشعة مقطعيه متعدده المقاطع للصدر,Medical Center 1,1,259,428,139,4/2/2025 16:44,4/2/2025 16:44
26,26,MSCT CHEST H.R.,CT Scan of the Chest High Resolution,أشعة مقطعية متعددة للصدر عالية التباين,Medical Center 1,1,165,382,175,4/2/2025 16:44,4/2/2025 16:44
27,27,MSCT CHEST&BRONCHOSCOPY,CT Scan of the Chest and Bronchoscopy,أشعة مقطعية متعدده للصدر و الشعب الهوائيه تخيليه,Medical Center 1,1,661,51,305,4/2/2025 16:44,4/2/2025 16:44
28,28,MSCT A. PULMONARY,CT Scan of the Pulmonary Arteries,أشعة مقطعيه متعدده المقاطع للشريان الرئوى,Medical Center 1,1,793,285,89,4/2/2025 16:44,4/2/2025 16:44
29,29,MSCT A. PULM.&CHEST,CT Scan of the Pulmonary Arteries and Chest,أشعة مقطعية على الشريان الرئوى و الصدر,Medical Center 1,1,173,827,88,4/2/2025 16:44,4/2/2025 16:44
30,30,MSCT BRONCHOSCOPY,CT Scan of the Bronchoscopy,أشعة مقطعيه متعدده المقاطع للشعب الهوائيه,Medical Center 1,1,179,723,417,4/2/2025 16:44,4/2/2025 16:44
31,31,MSCT BREAST,CT Scan of the Breast,أشعة مقطعيه متعدده المقاطع للثدى,Medical Center 1,1,240,796,323,4/2/2025 16:44,4/2/2025 16:44
32,32,MSCT CALCIUM SCORING,CT Scan Calcium Scoring,أشعة مقطعية متعددة لقياس نسبة الكالسيوم بشرايين القلب,Medical Center 1,1,566,366,213,4/2/2025 16:44,4/2/2025 16:44
33,33,MSCT A. HEART CHILD,CT Scan of the Heart for Children,أشعة مقطعيه متعدده المقاطع لقلب لالطفال,Medical Center 1,1,595,920,90,4/2/2025 16:44,4/2/2025 16:44
34,34,MSCT A. CORONARY&CALCIUM,CT Scan of the Coronary Arteries with Calcium Scoring,أشعة مقطعيه متعدده لشرايين القلب مع قياس الكالسيوم,Medical Center 1,1,630,510,459,4/2/2025 16:44,4/2/2025 16:44
35,35,MSCT A. AORTA,CT Scan of the Aorta,أشعة مقطعيه متعدده لالورطى,Medical Center 1,1,301,283,383,4/2/2025 16:44,4/2/2025 16:44
36,36,MSCT A. AORTA&B. U. LIMBS,CT Scan of the Aorta and Upper Limbs,أشعة مقطعيه متعدده لالورطى و الطرفان العلويان,Medical Center 1,1,103,818,308,4/2/2025 16:44,4/2/2025 16:44
37,37,MSCT A. AORTA&B. L. LIMBS,CT Scan of the Aorta and Lower Limbs,أشعة مقطعيه متعدده لالورطى و الطرفان السفليين,Medical Center 1,1,777,954,367,4/2/2025 16:44,4/2/2025 16:44
38,38,MSCT ABDOMEN,CT Scan of the Abdomen,أشعة مقطعيه متعدده المقاطع للبطن,Medical Center 1,1,283,57,12,4/2/2025 16:44,4/2/2025 16:44
39,39,MSCT PELVIS,CT Scan of the Pelvis,أشعة مقطعيه متعدده المقاطع للحوض,Medical Center 1,1,987,899,460,4/2/2025 16:44,4/2/2025 16:44
40,40,MSCT ABDOMEN&PELVIS,CT Scan of the Abdomen and Pelvis,أشعة مقطعيه متعدده المقاطع للبطن والحوض,Medical Center 1,1,738,130,172,4/2/2025 16:44,4/2/2025 16:44
41,41,MSCT A. RENAL&UROGRAPHY,CT Scan of the Renal Arteries and Urography,أشعة مقطعية متعدده على شرايين الكلى والمسالك,Medical Center 1,1,307,362,495,4/2/2025 16:44,4/2/2025 16:44
42,42,MSCT A. AORTA PRE-TAVI,CT Scan of the Aorta with Calcium Scoring for Pre-TAVI,أشعة مقطعية متعدده لالورطى مع قياس الصمام,Medical Center 1,1,728,204,347,4/2/2025 16:44,4/2/2025 16:44
43,43,MSCT A. AORTA&B. L. LIMBS PRE-TAVI,CT Scan of the Aorta and Lower Limbs with Calcium Scoring for Pre-TAVI,أشعة مقطعيه متعدده لالورطى وشرايين الطرفين السفلين مع قياس الصمام,Medical Center 1,1,886,544,216,4/2/2025 16:44,4/2/2025 16:44
44,44,MSCT PORTO.&VENOGRAPHY 3D,CT Scan of the Portal Vein and Venography 3D,أشعة متعدده على الوريد البابى واورده البطن,Medical Center 1,1,774,332,165,4/2/2025 16:44,4/2/2025 16:44
45,45,MSCT PORTOGRAPHY,CT Scan of the Portal Vein,أشعة مقطعيه متعدده المقاطع للوريد البابى,Medical Center 1,1,897,347,249,4/2/2025 16:44,4/2/2025 16:44
46,46,MSCT A. PORTAL VEIN,CT Scan of the Portal Vein with Contrast,اشعة مقطعية على الوريد البابى بالصبغة,Medical Center 1,1,162,569,60,4/2/2025 16:44,4/2/2025 16:44
47,47,MSCT TRIPHASIC&PORTO.,CT Scan of the Triphasic and Portal Vein,أشعة مقطعيه متعدده للبطن وعلى الوريد البابى,Medical Center 1,1,383,118,214,4/2/2025 16:44,4/2/2025 16:44
48,48,MSCT DRAINAGE,CT Scan for Drainage,أشعة مقطعيه متعدده لتفريغ سوائل البطن,Medical Center 1,1,603,106,281,4/2/2025 16:44,4/2/2025 16:44
49,49,MSCT ENTEROGRAPHY,CT Scan of the Enterography,اشعه مقطعيه متعددة على االمعاء,Medical Center 1,1,346,516,358,4/2/2025 16:44,4/2/2025 16:44
50,50,MSCT GASTROSCOPY,CT Scan of the Gastroscopy,أشعة مقطعيه تخيليه للمعده,Medical Center 1,1,358,318,128,4/2/2025 16:44,4/2/2025 16:44
51,51,MSCT TRIPHASIC LIVER,CT Scan of the Triphasic Liver,أشعة مقطعيه خاص للكبد,Medical Center 1,1,759,393,460,4/2/2025 16:44,4/2/2025 16:44
52,52,MSCT VOLUMETRY,CT Scan of the Volumetry,أشعة مقطعيه لقياس حجم الكبد,Medical Center 1,1,932,317,417,4/2/2025 16:44,4/2/2025 16:44
53,53,MSCT COLONOSCOPY,CT Scan of the Colonoscopy,أشعة مقطعيه متعدده تخيليه للقولون,Medical Center 1,1,530,170,457,4/2/2025 16:44,4/2/2025 16:44
54,54,MSCT TRIPHASIC KIDNEY,CT Scan of the Triphasic Kidney,أشعة مقطعيه متعدده على الكلى ثالثيه االطوار,Medical Center 1,1,824,205,162,4/2/2025 16:44,4/2/2025 16:44
55,55,MSCT CYSTOSCOPY,CT Scan of the Cystoscopy,أشعة مقطعيه متعدده المقاطع للمثانه,Medical Center 1,1,449,302,20,4/2/2025 16:44,4/2/2025 16:44
56,56,MSCT UT,CT Scan of the Urography,أشعة مقطعية متعددة على المسالك البولية,Medical Center 1,1,237,407,110,4/2/2025 16:44,4/2/2025 16:44
57,57,MSCT UROGRAPHY,CT Scan of the Urography without Contrast,أشعة مقطعيه للمسالك البوليه بدون تحضير,Medical Center 1,1,591,323,254,4/2/2025 16:44,4/2/2025 16:44
58,58,MSCT CERVICAL SPINE,CT Scan of the Cervical Spine,أشعة مقطعيه متعدده المقاطع للفقرات العنقيه,Medical Center 1,1,187,618,494,4/2/2025 16:44,4/2/2025 16:44
59,59,MSCT DORSAL SPINE,CT Scan of the Dorsal Spine,أشعة مقطعيه متعدده المقاطع للفقرات الصدريه,Medical Center 1,1,979,904,333,4/2/2025 16:44,4/2/2025 16:44
60,60,MSCT DORSOLUMBAR SPINE,CT Scan of the Dorsolumbar Spine,اشعة مقطعية متعددة للفقرات الظهرية القطنية,Medical Center 1,1,761,994,358,4/2/2025 16:44,4/2/2025 16:44
61,61,MSCT LUMBOSACRAL SPINE,CT Scan of the Lumbosacral Spine,أشعة مقطعيه متعدده المقاطع للفقرات القطنيه,Medical Center 1,1,589,484,210,4/2/2025 16:44,4/2/2025 16:44
62,62,MSCT A. B. U. LIMBS,CT Scan of the Upper Limbs Arteries,أشعة مقطعيه متعدده لشرايين الطرفين العلويين,Medical Center 1,1,785,645,282,4/2/2025 16:44,4/2/2025 16:44
63,63,MSCT A. B. L. LIMBS,CT Scan of the Lower Limbs Arteries,أشعة مقطعيه متعدده لشرايين الطرفين السفليين,Medical Center 1,1,504,790,109,4/2/2025 16:44,4/2/2025 16:44
64,64,MSCT CERVICAL SPINE DYNAMIC,CT Scan of the Cervical Spine Dynamic,أشعه مقطعيه متعدده للفقرات العنقه ديناميك,Medical Center 1,1,982,164,257,4/2/2025 16:44,4/2/2025 16:44
65,65,MSCT A. MESENTERIC,CT Scan of the Mesenteric Arteries,أشعة مقطعيه متعدده للشرايين المعويه,Medical Center 1,1,833,133,386,4/2/2025 16:44,4/2/2025 16:44
66,66,MSCT A. RENAL,CT Scan of the Renal Arteries,أشعة مقطعيه متعدده للشرايين الكلوية,Medical Center 1,1,953,444,402,4/2/2025 16:44,4/2/2025 16:44
67,67,MSCT U. LIMB,CT Scan of the Upper Limb,اشعة مقطعية متعددة على الطرف العلوى,Medical Center 1,1,885,710,333,4/2/2025 16:44,4/2/2025 16:44
68,68,MSCT U. LIMB VENOGRAPHY,CT Scan of the Upper Limb Venography,اشعة مقطعية متعددة الورده الطرف العلوى,Medical Center 1,1,999,166,450,4/2/2025 16:44,4/2/2025 16:44
69,69,MSCT A. U. LIMB,CT Scan of the Upper Limb Arteries,أشعة مقطعية متعددة لشرايين الطرف العلوى,Medical Center 1,1,679,395,313,4/2/2025 16:44,4/2/2025 16:44
70,70,MSCT B. U. LIMBS VENOGRAPHY,CT Scan of the Upper and Lower Limbs Venography,أشعة مقطعية متعددة الورده الطرفين العلويين,Medical Center 1,1,868,287,235,4/2/2025 16:44,4/2/2025 16:44
71,71,MSCT L. LIMB,CT Scan of the Lower Limb,أشعة مقطعية متعددة على الطرف  السفلى,Medical Center 1,1,381,395,196,4/2/2025 16:44,4/2/2025 16:44
72,72,MSCT L. LIMB VENOGRAPHY,CT Scan of the Lower Limb Venography,أشعة مقطعية متعددة الورده الطرف  السفلى,Medical Center 1,1,339,783,184,4/2/2025 16:44,4/2/2025 16:44
73,73,MSCT B. L. LIMBS VENOGRAPHY,CT Scan of the Lower Limbs Venography,أشعة مقطعيه متعدده على اورده الساقين,Medical Center 1,1,582,564,175,4/2/2025 16:44,4/2/2025 16:44
74,74,MSCT BIOPSY AFTER,CT Scan of the Biopsy After,عينه بعد االشعة المقطعيه,Medical Center 1,1,834,112,188,4/2/2025 16:44,4/2/2025 16:44
75,75,MSCT BIOPSY BEFORE,CT Scan of the Biopsy Before,عينه قبل االشعة المقطعيه,Medical Center 1,1,834,130,122,4/2/2025 16:44,4/2/2025 16:44
76,76,MSCT ANKLE,CT Scan of the Ankle,أشعة مقطعيه للكاحل,Medical Center 1,1,805,556,172,4/2/2025 16:44,4/2/2025 16:44
77,77,MSCT FOOT,CT Scan of the Foot,أشعة مقطعيه للقدم,Medical Center 1,1,238,759,254,4/2/2025 16:44,4/2/2025 16:44
78,78,MSCT WRIST,CT Scan of the Wrist,أشعة مقطعية متعددة على الرسغ,Medical Center 1,1,306,660,374,4/2/2025 16:44,4/2/2025 16:44
79,79,MSCT TIBIAL TORSION,CT Scan of the Tibial Torsion,"اشعة مقطعية على قصبة الساق ""التواء""",Medical Center 1,1,139,331,451,4/2/2025 16:44,4/2/2025 16:44
80,80,MSCT KNEE,CT Scan of the Knee,اشعة مقطعية متعددة على الركبة,Medical Center 1,1,230,85,388,4/2/2025 16:44,4/2/2025 16:44
81,81,MSCT CLAVICLE,CT Scan of the Clavicle,اشعة مقطعية متعددة على الترقوة,Medical Center 1,1,797,532,169,4/2/2025 16:44,4/2/2025 16:44
82,82,MSCT SCAPULA,CT Scan of the Scapula,اشعة مقطعية متعددة على لوح الكتف,Medical Center 1,1,212,819,427,4/2/2025 16:44,4/2/2025 16:44
83,83,MSCT SHOULDER,CT Scan of the Shoulder,اشعة مقطعية متعددة على مفصل الكتف,Medical Center 1,1,245,806,262,4/2/2025 16:44,4/2/2025 16:44
84,84,MSCT ELBOW,CT Scan of the Elbow,اشعة مقطعية متعددة على الكوع,Medical Center 1,1,252,100,81,4/2/2025 16:44,4/2/2025 16:44
85,85,MSCT HIP,CT Scan of the Hip,اشعة مقطعية متعددة على مفصل  الفخذ,Medical Center 1,1,769,853,90,4/2/2025 16:44,4/2/2025 16:44
86,86,MSCT THIGH,CT Scan of the Thigh,اشعة مقطعية متعددة على الفخذ,Medical Center 1,1,897,438,363,4/2/2025 16:44,4/2/2025 16:44
87,87,MSCT FEMUR,CT Scan of the Femur,اشعة مقطعية متعددة على عظمه الفخذ,Medical Center 1,1,454,253,253,4/2/2025 16:44,4/2/2025 16:44
88,88,MSCT LEG,CT Scan of the Leg,أشعة مقطعية متعددة على الساق,Medical Center 1,1,450,431,440,4/2/2025 16:44,4/2/2025 16:44
89,89,MSCT FOREARM,CT Scan of the Forearm,أشعة مقطعية متعدده على الساعد,Medical Center 1,1,396,809,84,4/2/2025 16:44,4/2/2025 16:44
90,90,MSCT HAND,CT Scan of the Hand,أشعة مقطعية متعدده على اليد,Medical Center 1,1,368,51,412,4/2/2025 16:44,4/2/2025 16:44
91,91,MSCT HUMERUS,CT Scan of the Humerus,أشعة مقطعية متعدده على العضد,Medical Center 1,1,834,185,104,4/2/2025 16:44,4/2/2025 16:44
92,92,MSCT SACROILIAC JOINTS,CT Scan of the Sacroiliac Joints,أشعة مقطعية متعدده المقاطع للمفصلين الحرقفيين العجزيين,Medical Center 1,1,922,749,400,4/2/2025 16:44,4/2/2025 16:44
93,93,MSCT STERNO-CLAVICULAR JOINT,CT Scan of the Sterno-Clavicular Joint,اشعة مقطعية متعدده على المفصل القصى الترقوى,Medical Center 1,1,686,525,41,4/2/2025 16:44,4/2/2025 16:44
94,94,MSCT SACRUM,CT Scan of the Sacrum,أشعة مقطعية متعدده المقاطع للعجز,Medical Center 1,1,801,173,267,4/2/2025 16:44,4/2/2025 16:44
95,95,MSCT COCCYX,CT Scan of the Coccyx,أشعة مقطعية متعدده المقاطع للعصعص,Medical Center 1,1,795,394,457,4/2/2025 16:44,4/2/2025 16:44
96,96,MSCT JOINT OR BONE,CT Scan of the Joint or Bone,أشعة مقطعية متعدده المقاطع للمفاصل او العظام,Medical Center 1,1,737,610,209,4/2/2025 16:44,4/2/2025 16:44
97,97,MSCT 3D,CT Scan 3D,أشعة متعدده ثالثيه االبعاد,Medical Center 1,1,923,549,401,4/2/2025 16:44,4/2/2025 16:44
98,98,MSCT TRIPHASIC LIVER&PELVIS,CT Scan Triphasic Liver & Pelvis,أشعه مقطعيه متعدده  على الكبد ثالثى االطوار والحوض,Medical Center 1,1,646,184,33,4/2/2025 16:44,4/2/2025 16:44
99,99,"MSCT CHEST,ABD.&PELVIS","CT Scan of the Chest, Abdomen & Pelvis",أشعه مقطعيه متعدده على الصدر والبطن والحوض,Medical Center 1,1,343,83,334,4/2/2025 16:44,4/2/2025 16:44
100,100,"MSCT CHEST, TRIPHASIC LIVER&PELV. ","CT Scan of the Chest, Triphasic Liver & Pelvis",أشعه مقطعيه متعدده على الصدر والكبد ثالثى االطوار والحوض,Medical Center 1,1,105,878,318,4/2/2025 16:44,4/2/2025 16:44
101,101,MSCT CERVICAL SPINE 4 VIEWS CD ONLY WITHOU,CT Scan of the Cervical Spine 4 Views CD Only Without Report,مقطعية متعددة  للفقرات العنقيه 4 اوضاع اسطوانه فقط بدون افالم او تقرير,Medical Center 1,1,199,230,344,4/2/2025 16:44,4/2/2025 16:44
102,102,MSCT LOW DOSE WHOLE BODY CD ONLY WITHOU,CT Scan Low Dose Whole Body CD Only Without Report,مقطعية متعددة للجسم كله )جرعه منخفضه( اسطوانه فقط بدون افالم او تقرير,Medical Center 1,1,725,812,280,4/2/2025 16:44,4/2/2025 16:44
103,103,ANAESTHESIA CT,Anesthesia CT,فى حاله األحتياج الى التخدير يضاف,Medical Center 1,1,420,492,95,4/2/2025 16:44,4/2/2025 16:44
104,104,US CHEST,Ultrasound of the Chest,موجات صوتيه للصدر,Medical Center 1,1,743,717,131,4/2/2025 16:44,4/2/2025 16:44
105,105,US ABDOMEN,Ultrasound of the Abdomen,موجات صوتيه للبطن,Medical Center 1,1,275,730,345,4/2/2025 16:44,4/2/2025 16:44
106,106,US PELVIS,Ultrasound of the Pelvis,موجات صوتيه للحوض,Medical Center 1,1,556,458,366,4/2/2025 16:44,4/2/2025 16:44
107,107,US ABDOMEN&PELVIS,Ultrasound of the Abdomen & Pelvis,موجات صوتيه للبطن والحوض,Medical Center 1,1,421,484,479,4/2/2025 16:44,4/2/2025 16:44
108,108,US THYROID,Ultrasound of the Thyroid,موجات صوتيه للغده الدرقيه,Medical Center 1,1,450,469,390,4/2/2025 16:44,4/2/2025 16:44
109,109,US&DOPPLER PREGNANT,Ultrasound & Doppler of Pregnant,موجات صوتيه بالدوبلر للحمل,Medical Center 1,1,178,390,339,4/2/2025 16:44,4/2/2025 16:44
110,110,US TRANS VAGINAL,Ultrasound Trans Vaginal,موجات صوتيه مهبليه للرحم,Medical Center 1,1,725,146,497,4/2/2025 16:44,4/2/2025 16:44
111,111,US 4D,Ultrasound 4D,موجات صوتية رباعية االبعاد,Medical Center 1,1,682,208,313,4/2/2025 16:44,4/2/2025 16:44
112,112,4D TWINS,4D Twins,موجات صوتيه رباعيه االبعاد توءم,Medical Center 1,1,883,384,307,4/2/2025 16:44,4/2/2025 16:44
113,113,4D TRIPLETS,4D Triplets,موجات صوتية رباعية االبعاد اكثر من توأم,Medical Center 1,1,898,353,132,4/2/2025 16:44,4/2/2025 16:44
114,114,US TESTIS,Ultrasound of the Testis,موجات صوتيه للخصيه,Medical Center 1,1,642,369,296,4/2/2025 16:44,4/2/2025 16:44
115,115,US DOPPLER TISSUE,Ultrasound Doppler Tissue,صوتيه بالدوبلر لالنسجه,Medical Center 1,1,577,89,401,4/2/2025 16:44,4/2/2025 16:44
116,116,US TRANS RECTAL,Ultrasound Trans Rectal,موجات صوتيه للبروستاتا من الشرج,Medical Center 1,1,704,907,462,4/2/2025 16:44,4/2/2025 16:44
117,117,US BIOPSY,Ultrasound Biopsy,عينه تحت الموجات الصوتيه,Medical Center 1,1,960,962,465,4/2/2025 16:44,4/2/2025 16:44
118,118,US SKULL PEDIATRICS,Ultrasound of the Skull Pediatrics,موجات صوتبة على الجمجمه أطفال,Medical Center 1,1,185,369,435,4/2/2025 16:44,4/2/2025 16:44
119,119,US FINE NEEDLE,Ultrasound Fine Needle,عينه بالموجات الصوتيه ) إبرة دقيقة (,Medical Center 1,1,380,385,323,4/2/2025 16:44,4/2/2025 16:44
120,120,US BIOPSY TRANSRECTAL,Ultrasound Biopsy Trans Rectal,عينه من البروستاتا تحت الموجات الصوتيه,Medical Center 1,1,979,764,214,4/2/2025 16:44,4/2/2025 16:44
121,121,US DRAINAGE,Ultrasound Drainage,موجات صوتيه لتفريغ سوائل البطن,Medical Center 1,1,274,503,275,4/2/2025 16:44,4/2/2025 16:44
122,122,US BIOPSY INTERPOLATION,Ultrasound Biopsy Interpolation,"عينه بالموجات الصوتية  ""استكمال فحص""",Medical Center 1,1,195,109,386,4/2/2025 16:44,4/2/2025 16:44
123,123,US SHOULDER,Ultrasound of the Shoulder,موجات صوتيه للكتف,Medical Center 1,1,433,173,458,4/2/2025 16:44,4/2/2025 16:44
124,124,US B. SHOULDERS,Ultrasound of Both Shoulders,موجات صوتية علي الكتفين,Medical Center 1,1,766,445,414,4/2/2025 16:44,4/2/2025 16:44
125,125,US AXILLA 1 SIDE,Ultrasound of the Axilla 1 Side,صوتيه لالبط,Medical Center 1,1,400,732,462,4/2/2025 16:44,4/2/2025 16:44
126,126,US B. AXILLA,Ultrasound of Both Axilla,صوتيه لالبطين,Medical Center 1,1,905,790,134,4/2/2025 16:44,4/2/2025 16:44
127,127,US HAND,Ultrasound of the Hand,موجات صوتيه على اليد,Medical Center 1,1,480,863,85,4/2/2025 16:44,4/2/2025 16:44
128,128,US B. HANDS,Ultrasound of Both Hands,موجات صوتية على اليدين,Medical Center 1,1,913,240,304,4/2/2025 16:44,4/2/2025 16:44
129,129,US WRIST,Ultrasound of the Wrist,موجات صوتيه على الرسغ,Medical Center 1,1,648,291,408,4/2/2025 16:44,4/2/2025 16:44
130,130,US B. WRISTS,Ultrasound of Both Wrists,موجات صوتية على الرسغين,Medical Center 1,1,679,352,62,4/2/2025 16:44,4/2/2025 16:44
131,131,US ANKLE,Ultrasound of the Ankle,موجات صوتيه على الكاحل,Medical Center 1,1,900,103,189,4/2/2025 16:44,4/2/2025 16:44
132,132,US B. ANKLES,Ultrasound of Both Ankles,موجات صوتيه على الكاحلين,Medical Center 1,1,936,466,412,4/2/2025 16:44,4/2/2025 16:44
133,133,US KNEE,Ultrasound of the Knee,موجات صوتيه على الركبه,Medical Center 1,1,171,691,304,4/2/2025 16:44,4/2/2025 16:44
134,134,US B. KNEES,Ultrasound of Both Knees,موجات صوتيه على الركبتين,Medical Center 1,1,808,972,423,4/2/2025 16:44,4/2/2025 16:44
135,135,US HIP,Ultrasound of the Hip,موجات صوتيه للفخذ,Medical Center 1,1,784,74,298,4/2/2025 16:44,4/2/2025 16:44
136,136,US THIGH,Ultrasound of the Thigh,موجات صوتيه على الفخذ,Medical Center 1,1,179,529,91,4/2/2025 16:44,4/2/2025 16:44
137,137,US B. THIGHS,Ultrasound of Both Thighs,موجات صوتيه للفخذين,Medical Center 1,1,791,269,87,4/2/2025 16:44,4/2/2025 16:44
138,138,US JOINT,Ultrasound of the Joint,موجات صوتيه على مفصل,Medical Center 1,1,327,52,105,4/2/2025 16:44,4/2/2025 16:44
139,139,US B. JOINTS,Ultrasound of Both Joints,موجات صوتيه علي مفصلين متشابهين,Medical Center 1,1,739,534,273,4/2/2025 16:44,4/2/2025 16:44
140,140,US NECK,Ultrasound of the Neck,موجات صوتيه للعنق,Medical Center 1,1,484,355,341,4/2/2025 16:44,4/2/2025 16:44
141,141,US LIVER FIBROSCAN & ELASTOGRAPHY*,Ultrasound of the Liver Fibroscan & Elastography,صوتيه خاص للكبد خاصيه المرونه,Medical Center 1,1,843,989,197,4/2/2025 16:44,4/2/2025 16:44
142,142,US MUSCOLOSKELETAL,Ultrasound of the Musculoskeletal,موجات صوتيه على العضالت الهيكليه,Medical Center 1,1,313,491,464,4/2/2025 16:44,4/2/2025 16:44
143,143,US MUSCOLOSKELETAL INTERVENTION,Ultrasound of the Musculoskeletal Intervention,موجات صوتيه على العضالت الهيكليه )حقن (,Medical Center 1,1,832,568,22,4/2/2025 16:44,4/2/2025 16:44
144,144,US COMPREHENSIVE LIVER ANALYSIS WITH FIBR,Ultrasound of the Comprehensive Liver Analysis with Fibroscan,فحص الكبد الشامل بالموجات الصوتيه والفبروسكان,Medical Center 1,1,584,577,224,4/2/2025 16:44,4/2/2025 16:44
145,145,US ELASTOGRAPHY,Ultrasound of the Elastography,موجات صوتيه باستخدام المرونه,Medical Center 1,1,384,987,81,4/2/2025 16:44,4/2/2025 16:44
